period,start_station_id,no_trips
201909,355,4403
201910,484,4399
202001,442,4398
201906,495,4398
201908,533,4397
201906,3472,4391
201910,3718,4390
201907,237,4390
202003,514,4389
201909,3798,4387
201906,2021,4386
201909,3140,4385
201908,3158,4384
201910,422,4383
201909,533,4382
201910,303,4379
201908,3093,4376
201909,540,4370
201907,3674,4366
201908,363,4364
202001,489,4362
201907,533,4356
201911,3167,4355
201906,305,4353
201908,355,4350
201910,387,4348
201910,513,4347
202001,446,4346
201907,167,4344
201907,3140,4343
202005,3641,4343
201906,3142,4342
201910,3467,4337
201907,484,4336
202001,284,4336
201906,508,4334
201911,518,4333
201910,470,4330
201908,195,4326
201908,3167,4326
201910,539,4326
202005,435,4325
201907,417,4319
201908,469,4317
201910,483,4316
202001,116,4316
202001,504,4316
201911,450,4315
201912,359,4314
201908,3443,4312
201909,3799,4312
201909,3236,4308
201909,247,4307
201909,480,4306
201906,450,4306
201907,3236,4305
201910,361,4298
201909,164,4298
201907,3282,4297
201906,72,4292
201907,3708,4291
201907,268,4282
201908,3140,4275
201910,325,4274
201908,460,4272
201910,533,4269
201907,336,4267
201907,3158,4267
201907,3093,4266
202001,3263,4257
201907,72,4253
201907,532,4252
201908,3236,4251
202002,3263,4249
202001,472,4248
201909,309,4244
201911,478,4236
201908,480,4232
201909,2012,4229
201911,128,4226
201910,3142,4224
201910,3809,4223
202003,358,4222
201906,268,4220
201911,281,4217
201910,268,4215
201909,3443,4211
202005,368,4208
202002,492,4208
202001,461,4204
202001,3687,4204
202002,284,4197
201906,3674,4197
201907,3461,4195
201911,326,4194
201907,3142,4194
201910,311,4188
202005,3423,4187
201907,319,4185
201910,412,4183
201910,3259,4183
201909,3159,4183
202003,490,4182
201911,237,4182
201911,453,4179
201906,483,4178
202005,387,4178
201906,485,4178
201912,499,4176
201911,520,4175
201907,254,4175
202003,3711,4166
202002,3435,4165
201912,3641,4162
201906,3093,4161
201906,3708,4161
201910,383,4160
202001,491,4157
202001,426,4152
201907,2021,4148
201910,417,4147
201906,448,4146
201906,311,4146
202005,402,4144
202001,229,4143
201908,252,4140
201911,466,4140
201911,482,4140
201907,546,4139
201911,545,4135
201908,325,4134
201910,546,4130
201909,410,4130
201910,3163,4127
202002,442,4127
201910,469,4126
201911,525,4122
201906,435,4119
202005,3992,4119
201909,346,4117
201906,3461,4109
201910,195,4108
201910,3140,4102
201910,540,4099
201910,174,4094
201909,3295,4093
201911,447,4087
201911,462,4079
201911,380,4079
201907,3718,4078
201911,513,4078
201908,3168,4078
201906,346,4076
201910,3463,4076
201908,540,4075
201911,493,4074
201909,3680,4067
201908,328,4067
201906,546,4067
202003,505,4067
201906,328,4066
201909,385,4064
202003,285,4063
201908,2012,4061
201908,247,4058
201906,441,4057
202005,3129,4056
201909,3175,4056
201911,474,4055
201909,536,4052
201908,3295,4052
201907,536,4050
201907,3472,4050
201911,501,4045
201911,3002,4044
201907,3235,4044
201907,3788,4041
201907,480,4041
201907,3429,4039
201911,127,4038
201906,3158,4036
201908,483,4035
202001,2003,4035
201906,3282,4034
201910,280,4033
202002,489,4032
201911,3664,4026
201910,315,4025
201909,3168,4025
201910,265,4022
202001,3141,4022
201908,3463,4020
201911,3712,4017
201907,483,4016
202002,446,4015
202004,3141,4012
201910,3798,4012
201907,363,4011
201909,434,4008
201911,250,4008
201908,410,4007
202001,368,4006
201912,293,4004
201910,3680,4003
201910,252,4000
201908,522,4000
201906,304,3998
202002,229,3997
202001,168,3993
201910,2012,3991
201906,247,3987
201906,319,3985
201911,327,3978
201906,533,3978
201911,439,3973
201910,319,3970
201906,3236,3963
201911,223,3962
201912,3812,3960
201911,515,3959
201907,325,3953
201910,3712,3952
201908,279,3950
201907,540,3949
201909,238,3947
202002,517,3942
202002,491,3938
201908,346,3938
202001,486,3934
201910,369,3932
201907,328,3927
201911,476,3927
201911,3656,3917
202005,285,3917
201911,161,3913
202003,359,3912
202001,496,3912
201906,238,3909
202002,465,3908
201908,309,3905
201909,3429,3904
202005,507,3898
201908,3259,3893
202001,518,3891
201908,520,3890
201907,3259,3890
201911,526,3890
201911,3708,3885
201906,3718,3883
201907,247,3878
201910,368,3877
201912,492,3873
202005,3140,3872
201909,296,3871
201906,460,3869
201908,296,3865
201906,410,3864
201911,334,3862
201909,473,3855
201907,3680,3854
201908,3674,3854
201906,325,3853
201908,164,3852
201907,355,3852
201908,3429,3851
202005,478,3848
201908,454,3848
202003,3435,3848
202002,116,3847
201910,448,3841
202002,504,3836
201908,536,3836
201912,523,3835
202003,3641,3834
201912,3435,3830
202003,3141,3825
202005,528,3822
201912,358,3821
202001,507,3816
201906,493,3813
202001,3164,3812
202005,3435,3811
201907,3168,3810
201906,3259,3808
202002,472,3808
201908,150,3806
201909,3809,3801
201909,469,3800
201906,540,3800
201907,422,3799
201906,3429,3799
202005,447,3797
201906,3235,3794
201909,440,3790
201911,530,3789
201906,434,3787
201911,503,3786
201907,2012,3784
202001,3443,3783
201910,3282,3783
201910,247,3782
201909,3783,3780
201907,252,3773
202005,3724,3772
201907,3159,3771
202003,468,3764
201910,328,3763
201911,405,3753
201910,500,3747
201908,500,3745
201909,3697,3745
202001,173,3744
202002,461,3744
201910,485,3742
201911,3686,3738
201911,236,3738
201911,307,3736
201911,312,3734
201908,2000,3732
201906,480,3731
201910,2008,3727
201911,2021,3725
201910,536,3723
201910,3472,3723
201910,304,3717
202003,3812,3712
201906,417,3711
201910,3461,3710
202005,3349,3709
201910,164,3708
201907,3463,3707
201911,3443,3706
202001,528,3703
201910,3429,3700
201909,3674,3698
201911,350,3697
201907,2000,3692
201909,2002,3692
201908,2002,3691
202003,523,3691
201912,465,3690
201908,3244,3689
201906,3463,3689
202002,368,3685
201910,3093,3685
201908,3680,3683
201912,468,3682
201908,3783,3681
202004,426,3680
202005,504,3678
201911,403,3678
202001,151,3678
201907,469,3669
202001,297,3669
202005,446,3666
201908,3175,3665
201907,2002,3664
202002,507,3662
201909,3733,3660
202005,3142,3660
201911,167,3659
201909,3812,3659
201911,508,3657
202001,3664,3657
201912,459,3655
201907,279,3653
201907,410,3653
201907,3244,3652
201907,454,3652
202005,509,3650
201908,513,3648
201911,301,3647
201906,3295,3645
201911,305,3640
201909,500,3639
202001,127,3638
201910,385,3638
201909,3457,3637
201909,3301,3634
201910,3159,3629
201907,346,3629
201907,195,3628
201906,252,3627
201910,3699,3627
202002,496,3627
202001,494,3626
201906,2023,3625
201908,3159,3621
202002,2003,3621
201909,150,3619
201910,532,3618
202003,504,3616
201908,455,3616
201906,279,3614
201906,3168,3604
202002,168,3597
201907,3295,3595
201910,3295,3592
201910,3016,3592
201906,2012,3586
201911,484,3586
201906,2002,3585
201906,3409,3584
202001,462,3584
202001,453,3584
201907,485,3583
202002,3687,3583
202005,2003,3582
202005,363,3581
202005,460,3580
201906,536,3579
201909,279,3579
201910,440,3577
201911,531,3576
201908,3143,3574
202002,426,3572
202001,509,3571
201911,401,3568
201911,3244,3565
201909,3374,3560
201907,296,3556
202001,474,3556
201908,238,3554
201907,164,3553
201909,3737,3548
202001,432,3546
202003,379,3543
201906,484,3542
201909,3409,3541
201906,3244,3541
202002,486,3540
201911,3158,3537
202001,545,3536
201910,410,3535
201908,3798,3535
201910,456,3528
201910,3175,3522
202003,3687,3521
201911,3699,3520
201909,485,3518
201911,3788,3516
202001,514,3514
202002,151,3512
201907,3737,3509
201909,3235,3508
202002,3664,3507
201906,195,3506
202001,482,3504
202001,466,3503
202001,128,3502
201909,3134,3500
202003,3707,3498
201911,3260,3497
202003,293,3496
202002,3141,3490
202004,514,3488
202003,446,3487
201907,309,3486
201910,3156,3486
201909,3156,3485
201906,3159,3485
201911,394,3484
202002,173,3481
201909,3112,3479
201911,529,3476
202001,237,3474
201907,440,3468
202002,509,3467
201910,3733,3466
201906,355,3465
201908,440,3464
201910,267,3462
201909,3132,3457
201909,2000,3457
202005,72,3456
201908,3737,3455
201907,3783,3449
201908,280,3447
202001,501,3445
201909,349,3443
201906,3423,3442
201906,3112,3442
202001,327,3442
202005,350,3440
201907,455,3439
202005,518,3436
202002,432,3435
201907,481,3434
202001,334,3434
202005,380,3433
201907,502,3431
202005,476,3431
201912,491,3430
201912,3707,3429
202001,326,3426
201908,217,3422
201906,3459,3419
201910,363,3417
201907,280,3416
201907,238,3415
202001,458,3414
201911,3718,3413
201909,3747,3405
202001,250,3404
202001,445,3401
202005,482,3400
201910,3137,3396
201910,3301,3396
202001,3167,3393
201907,150,3391
201907,174,3390
