bike_id,avg_miles,total_aprox_miles,no_trips
15572,1.4558117843866171,391.61337,269
15573,1.1958474226804124,463.98880,388
15574,1.2124326283987915,401.31520,331
15577,1.2318644267515924,386.80543,314
15580,1.3959346708463950,445.30316,319
15582,1.1699362745098039,119.33350,102
15584,1.2672609090909091,376.37649,297
15585,1.0402427756653992,273.58385,263
15586,1.1001867558528428,328.95584,299
15587,1.0705085245901639,195.90306,183
15589,1.2435674931129477,451.41500,363
15590,1.2503020677966102,368.83911,295
15591,1.3970443840579710,385.58425,276
15592,1.1810425947521866,405.09761,343
15593,1.1600350825082508,351.49063,303
15594,1.3194457320872274,423.54208,321
15595,1.3395093434343434,265.22285,198
15596,1.3071513245033113,197.37985,151
15597,1.1961612883435583,389.94858,326
15598,1.1148360326086957,205.12983,184
15599,1.2853928915662651,320.06283,249
15600,1.3573042258064516,420.76431,310
15602,1.3579166666666667,285.16250,210
15603,1.3304229432624113,375.17927,282
15604,1.3073486592178771,468.03082,358
